Week,Date,Game,Pick,Line,Our Spread,Gap,Tier,Final Score,ATS Result,Units
3,2026-09-24,ATL@GB,ATL,+5.5,GB -2.4,3.1,Lean,"ATL 35, GB 14",W,1
3,2026-09-27,SEA@WAS,SEA,-7,SEA -10.8,3.8,Pass,,pending,
3,2026-09-27,CIN@PIT,PIT,+3.5,CIN -1.0,2.5,Card,,pending,
3,2026-09-27,NYJ@DET,NYJ,+6.5,DET -2.9,3.6,Lean,,pending,
3,2026-09-27,TEN@NYG,TEN,+2.5,NYG -1.1,1.4,Card,,pending,
3,2026-09-27,NE@JAX,NE,+3,JAX -0.9,2.1,Best Bet,,pending,
3,2026-09-27,KC@MIA,MIA,+11.5,KC -4.1,7.4,Lean,,pending,
3,2026-09-27,HOU@IND,IND,+2.5,IND -4.2,6.7,Best Bet,,pending,
3,2026-09-27,CAR@CLE,No side (Our = WG),CAR -2.5,CAR -2.5,0.0,Card,,n/a,
3,2026-09-27,LAC@BUF,BUF,-7.5,BUF -8.9,1.4,Card,,pending,
3,2026-09-27,MIN@TB,MIN,-1.5,MIN -5.4,3.9,Card,,pending,
3,2026-09-27,ARI@SF,ARI,+8.5,SF -8.4,0.1,Card,,pending,
3,2026-09-27,LV@NO,LV,+3,LV -0.8,3.8,Lean,,pending,
3,2026-09-27,BAL@DAL (Brazil),No side (Our = WG),BAL -3.5,BAL -3.5,0.0,Card,,n/a,
3,2026-09-27,LAR@DEN,DEN,+2.5,DEN -0.4,2.9,Best Bet,,pending,
3,2026-09-28,PHI@CHI,CHI,+4.5,CHI -6.1,10.6,Lean,,pending,
